               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,             0.02007,            0.016629,                   0,             0.94758,             0.96947,             0.97899,             0.61611,            0.022847,            0.010946,                   0,            0.001684,            0.001684,            0.001684
                  86,             0.01949,            0.013559,                   0,             0.95385,              0.9467,             0.98113,             0.66477,            0.020465,            0.010634,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.019053,            0.014629,                   0,             0.96147,             0.95239,             0.98617,             0.66978,            0.020029,            0.010301,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.019313,            0.013237,                   0,             0.95753,              0.9466,             0.98571,             0.68243,            0.019557,            0.010313,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.01962,            0.014719,                   0,             0.96151,              0.9535,             0.98442,             0.67659,            0.020399,            0.010272,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.019222,            0.014234,                   0,             0.95394,             0.94869,             0.98499,             0.64791,            0.021519,            0.010524,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.019079,            0.014177,                   0,             0.94417,             0.95802,             0.98752,             0.67644,             0.01981,             0.01036,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.019269,            0.014849,                   0,             0.95974,             0.95802,              0.9852,             0.68305,            0.019709,            0.010112,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.018781,            0.015153,                   0,             0.96167,             0.95758,             0.98541,             0.69093,            0.019639,            0.010133,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.018764,            0.014826,                   0,             0.95733,             0.94198,             0.98369,             0.68308,            0.019973,            0.010527,                   0,            0.000793,            0.000793,            0.000793
                  95,              0.0193,            0.015107,                   0,             0.95478,             0.95802,              0.9851,             0.68124,            0.020316,            0.010281,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.019361,            0.014354,                   0,             0.95823,             0.96305,             0.98681,             0.68575,            0.019863,            0.010138,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.018721,            0.015108,                   0,             0.96479,             0.94136,             0.98587,             0.68498,            0.019899,            0.010375,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.019036,            0.014258,                   0,             0.96052,             0.95802,             0.98495,              0.6901,            0.019863,            0.010173,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.018928,            0.014775,                   0,             0.95813,             0.96073,             0.98492,             0.68735,            0.019941,            0.010134,                   0,            0.000298,            0.000298,            0.000298
