               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,             0.03149,            0.022318,                   0,             0.93407,             0.91922,             0.96289,             0.53987,            0.028172,            0.013461,                   0,            0.003466,            0.003466,            0.003466
                  68,              0.0313,            0.022005,                   0,             0.92498,             0.94119,             0.96895,             0.59929,            0.028009,            0.012892,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.030134,             0.02153,                   0,             0.87521,             0.93691,             0.96631,             0.60408,            0.026989,            0.013221,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.030731,            0.020433,                   0,             0.79962,             0.65267,             0.80035,             0.42579,            0.035378,            0.021046,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.03137,            0.021512,                   0,             0.90797,              0.9313,             0.96776,              0.6006,            0.027253,            0.012974,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.030287,             0.02061,                   0,              0.8844,             0.85496,             0.93606,              0.5578,            0.028124,            0.014363,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.031083,            0.020647,                   0,             0.91419,             0.93523,              0.9733,             0.59792,            0.027417,            0.012806,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.029979,            0.021384,                   0,             0.47591,             0.54198,             0.47364,             0.22052,            0.042654,            0.030009,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.030728,            0.021601,                   0,             0.94267,              0.9313,             0.96751,             0.55695,            0.028465,            0.014399,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.029323,            0.019964,                   0,             0.80215,             0.73282,             0.79074,             0.42622,            0.036929,            0.021829,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.029617,            0.020672,                   0,              0.9032,             0.87786,             0.94532,             0.54604,            0.029988,             0.01489,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.029276,            0.021455,                   0,              0.9345,             0.95802,             0.98005,             0.64427,            0.024858,            0.012516,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.030174,            0.021608,                   0,             0.87544,             0.91985,             0.94946,             0.54374,            0.029087,            0.013633,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.030006,            0.021305,                   0,             0.90652,             0.92533,             0.96133,              0.5934,            0.026009,            0.012807,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.028646,            0.019749,                   0,             0.92609,             0.95647,             0.97844,             0.59922,            0.026685,            0.012959,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.028987,            0.021612,                   0,             0.93421,             0.94275,             0.97958,             0.59201,            0.026023,            0.012397,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.030442,            0.021653,                   0,             0.95172,             0.93893,             0.98069,             0.62752,            0.024916,            0.011525,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.028653,             0.02063,                   0,             0.92876,              0.9454,             0.96709,             0.58058,            0.027025,            0.012038,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.030351,            0.019098,                   0,              0.9219,             0.93893,             0.96996,             0.61747,            0.025065,             0.01248,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.029244,            0.019649,                   0,             0.95456,             0.94275,              0.9819,             0.61168,            0.024561,            0.011654,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.030009,            0.021271,                   0,             0.94855,             0.93511,             0.96856,              0.5842,            0.026366,            0.011993,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.029463,            0.020544,                   0,             0.90131,             0.90632,             0.95454,             0.59987,            0.025672,            0.014116,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.028385,            0.020344,                   0,             0.93419,             0.95802,             0.97826,             0.62688,            0.024575,            0.011776,                   0,            0.001288,            0.001288,            0.001288
                  90,             0.02987,             0.02036,                   0,             0.95198,             0.92748,             0.97944,             0.65518,            0.023631,            0.011484,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.029243,            0.020689,                   0,             0.93212,             0.94346,              0.9769,             0.64785,            0.023538,            0.011868,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.029351,            0.020013,                   0,             0.89644,             0.89202,             0.94294,             0.57956,            0.027331,            0.014869,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.028362,            0.019926,                   0,             0.88875,              0.9084,             0.95798,             0.56396,            0.027236,            0.013636,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.028064,            0.020251,                   0,             0.92201,              0.9542,             0.98131,             0.62021,            0.024844,            0.011518,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.028057,             0.02058,                   0,             0.94699,             0.94656,             0.98396,             0.60302,            0.024927,             0.01134,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.027676,             0.02038,                   0,             0.94262,             0.95802,             0.98097,              0.5937,            0.026015,            0.011677,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.028846,            0.020277,                   0,             0.95447,             0.94275,             0.98022,             0.59352,            0.025799,            0.011649,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.028301,            0.019978,                   0,             0.92518,             0.97328,              0.9775,             0.64018,            0.023699,            0.011282,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.028228,            0.019665,                   0,             0.92672,             0.96947,             0.97901,             0.63433,            0.023519,            0.011212,                   0,            0.000298,            0.000298,            0.000298
